S	M	T	W	R	F	S
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	14	30	22	19	15	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	5	5	4	0	0	
0	2	6	2	3	1	0	
0	1	3	1	7	1	0	
0	0	4	3	2	1	0	
0	5	1	2	3	0	0	
0	2	0	3	3	3	0	
0	0	1	0	1	2	0	
0	0	1	0	0	0	0	
0	1	1	0	1	0	0	
0	0	1	0	8	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	11	23	16	32	8	0	

S	M	T	W	R	F	S
0	0	2	0	0	0	0	
0	0	3	3	0	0	0	
0	0	4	1	4	0	0	
0	1	3	2	3	1	0	
0	1	4	4	0	0	0	
0	2	2	3	3	0	0	
0	2	4	4	1	0	0	
0	1	1	2	1	0	0	
0	1	0	1	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	8	23	20	13	1	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	2	4	3	1	0	
0	0	2	1	3	0	0	
0	0	6	5	4	1	0	
0	0	1	3	1	1	0	
0	3	4	1	1	0	0	
0	2	2	3	0	1	0	
0	1	0	2	2	0	0	
0	3	0	2	0	1	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	9	17	21	14	5	0	

S	M	T	W	R	F	S
0	0	5	0	0	0	0	
0	2	3	2	3	1	0	
0	1	4	2	1	2	0	
0	3	1	1	7	1	0	
0	0	1	6	1	0	0	
0	0	2	0	2	0	0	
0	1	0	1	2	0	0	
0	1	0	0	1	0	0	
0	2	0	3	0	0	0	
0	1	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	11	16	15	17	4	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	2	1	3	4	0	
0	4	8	4	3	2	0	
0	1	1	3	4	0	0	
0	1	2	1	0	1	0	
0	2	2	3	2	0	0	
0	6	1	4	2	1	0	
0	5	1	0	2	1	0	
0	3	1	7	3	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	22	18	23	19	9	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	4	3	2	1	0	
0	0	5	2	5	0	0	
0	0	5	5	2	1	0	
0	0	3	4	1	1	0	
0	0	2	1	3	4	0	
0	0	3	1	0	0	0	
0	0	1	2	2	1	0	
0	0	2	2	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	25	20	17	8	0	

S	M	T	W	R	F	S
0	0	1	1	0	0	0	
0	1	1	5	1	2	0	
0	1	1	1	6	3	0	
0	1	7	3	7	2	0	
0	2	2	3	2	0	0	
0	4	1	3	1	1	0	
0	3	3	0	2	4	0	
0	3	0	4	2	1	0	
0	1	1	5	2	0	0	
0	2	0	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	18	17	26	23	13	0	

S	M	T	W	R	F	S
0	0	2	0	0	0	0	
0	0	1	2	3	3	0	
0	0	4	3	5	3	0	
0	2	0	0	1	0	0	
0	0	0	2	2	1	0	
0	0	4	0	2	1	0	
0	0	4	0	1	1	0	
0	0	0	1	1	1	0	
0	0	0	3	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	2	15	11	15	10	0	

S	M	T	W	R	F	S
0	1	1	0	0	0	0	
0	3	1	1	0	0	0	
0	3	4	2	0	0	0	
0	6	0	0	0	0	0	
0	1	1	2	0	0	0	
0	1	0	2	0	0	0	
0	1	0	0	0	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	16	8	7	0	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	1	0	1	1	0	
0	0	0	0	0	0	0	
0	1	0	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	1	0	1	2	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	1	2	1	2	3	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	1	1	1	2	0	
